Dataset,,year,subjects,recordings,scoring,age range,gender (m/f),BMI,AHI,ArI (arousals/h),PLM index (PLM/h),ESS,PHQ-8/PHQ-9,SF-36 (physical comp),SF-36 (mental comp),FSS (fatigue severity scale),MEQ (morningness-eveningness questionnaire),GAD-7 (general anxiety disorder questionnaire),FOSQ (Functional Outcomes of Sleep Questionnaire),ISI,PSQI,WHIIRS (Women's Health Initiative Insomnia Rating Scale),SSS,STOP-BANG,SAQLI (Calgary Sleep Apnea Quality of Life Index),BDI,TIB (min),TST  (min),SE (%),SOL (min),WASO (min),N1/S1 (%),N2/S2 (%),N3/(S3+S4) (%),REM (%)
ABC,,2011-2014,49,132,AASM,27-65 (48.8 pm 9.9),28/21,38.9 pm 3.0,49.8 pm 27.6,,,10.1 pm 4.5,-,,,-,-,-,-,-,,,-,,,-,484.2 pm 55.6,373.7 pm 77.5,77.7 pm 15.0,21.5 pm 23.6,83.4 pm 59.8,19.8 pm 13.2,50.9 pm 9.5,11.5 pm 8.7,17.8 pm 7.2
ANPHY,,2024,29,29,AASM,32 pm 6,16/13,<30 (exclusion criteria),<= 15 (exclusion criteria),-,-,-,-,,,-,-,-,-,-,,,-,,,-,416.2 pm 48.3,341.6 pm 59.8,81.8 pm 9.9,17.5 pm 18.5,57.3 pm 35.0,12.3 pm 3.8,49.5 pm 6.6,23.1 pm 5.8,15.1 pm 4.1
APOE,,2003-2007,712,712,R&K,13-90 (45.7 pm 13.6),421/291,27.3 pm 7.0,-,,,-,-,,,-,-,-,-,-,,,-,,,-,467.7 pm 53.2,348.5 pm 70.0,74.6 pm 12.7,45.3 pm 33.4,73.4 pm 53.2,11.7 pm 9.6,63.0 pm 12.2,9.4 pm 9.7,16.0 pm 7.1
APPLES,,2003-2008,1516,1104,R&K,18-84 (50.1 pm 12.9),958/558,32.1 pm 7.8,38.2 pm 26.6,24.9 pm 19.1,8.2 pm 17.5,-,-,,,-,55.5 pm 11.9,-,-,-,,,2.8 pm 1.4,,,6.3 pm 5.2,493.3 pm 58.9,373.2 pm 74.1,75.7 pm 13.0,25.8 pm 27.4,94.3 pm 56.3,19.1 pm 14.7,60.5 pm 13.8,3.1 pm 5.8,17.3 pm 7.3
BESTAIR,,2011-2014,169,518,"AASM (home sleep test, not reliable)",46-77 (64.3 pm 7.4),110/59,31.7 pm 5.9,29.2 pm 16.6,-,-,8.3 pm 4.5,5.3 pm 4.9,,,-,-,-,-,-,,9.7 pm 4.6,-,,4.8 pm 0.9,-,-,-,84.2 pm 12.2,-,32.1 pm 33.9,-,-,-,-
CAPSLPDB,,2012,108,108,R&K,14-82 (49.2 pm 19.7),66/42,-,-,-,-,-,-,,,-,-,-,-,-,,-,-,,-,-,550.1 pm 100.1,401.1 pm 106.9,74.2 pm 20.4,79.6 pm 106.6,52.3 pm 49.8,5.7 pm 5.7,44.5 pm 10.2,28.9 pm 9.6,20.9 pm 6.7
CCSHS,,2006-2010,517,515,AASM,16-19 (17.7 pm 0.4),261/256,25.1 pm 5.9,1.5 pm 4.8,8.7 pm 3.7,0.4 pm 2.6,7.6 pm 3.8,-,,,-,-,-,-,-,,-,-,,-,-,538.1 pm 65.5,452.1 pm 76.0,83. pm 13.5,27.9 pm 51.0,58.1 pm 46.7,4.0 pm 2.7,52.2 pm 7.6,22.7 pm 8.4,21.1 pm 5.6
CFS,,1990-2006,735,730,R&K,7-89 (43.3 pm 19.9),329/406,32.4 pm 9.5,12.5 pm 17.0,15.5 pm 10.0,8.1 pm 17.9,8.7 pm 4.9,-,,,-,-,-,17.6 pm 2.6,-,,-,-,,-,-,521.2 pm 92.7,362.6 pm 74.0,70.8 pm 15.2,79.9 pm 81.2,78.6 pm 63.1,5.1 pm 4.8,56.7 pm 13.6,19.9 pm 13.4,18.4 pm 7.7
CHAT,,2007-2012,464,1639,AASM,5-10.5 (7.3 pm 1.4),219/234,19.0 pm 4.9,7.8 pm 5.9,8.5 pm 3.1,2.0 pm 3.8,-,-,,,-,-,-,-,-,,-,-,,-,-,531.0 pm 37.0,456.1 pm 53.3,86.0 pm 8.6,27.0 pm 26.3,47.9 pm 41.8,8.6 pm 4.1,41.4 pm 7.7,31.6 pm 7.4,18.4 pm 4.3
CPS,,2021-2022,113,113,AASM,"71% of participants are >50, age not known for all participants",45/17 (gender info is not available for all patients),"42% of participants are >30, BMI not known for all participants",107.9 pm 39.6,21.0 pm 10.4,-,7.8 pm 5.0,-,,,-,-,-,-,-,,-,-,,-,-,435.9 pm 37.2,304.6 pm 73.1,69.9 pm 16.0,22.1 pm 19.4,108.8 pm 65.8,15.7 pm 11.8,51.2 pm 11.6,19.3 pm 11.7,13.7 pm 6.4
