Dataset,level,year,subjects,recordings,scoring,age range,age,% female,BMI,AHI (>=3% oxygen desaturation if not noted differently),ArI (arousals/h),PLM index (PLM/h),ESS,PHQ-8/PHQ-9,SF-36 (physical),SF-36 (mental),FSS (fatigue severity scale),MEQ (morningness-eveningness questionnaire),GAD-7 (general anxiety disorder questionnaire),FOSQ (Functional Outcomes of Sleep Questionnaire),ISI,PSQI,WHIIRS (Women's Health Initiative Insomnia Rating Scale),SSS,STOP-BANG,SAQLI (Calgary Sleep Apnea Quality of Life Index),Zung Self-Rating Depression Scale,PedsQL (Pediatric Quality of Life Inventory),BDI,TIB (min),TST  (min),SE (%),SOL (min),WASO (min),N1/S1 (%),N2/S2 (%),N3/(S3+S4) (%),REM (%),population,access,key reference,repo source
ABC,1,2011-2014,49,132,AASM,27-65,48.8±9.9,42.3,38.9±3.0,50.1 pm 27.2,-,-,8.5 pm 4.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,484.2±55.6,373.7±77.5,77.7±15.0,21.5±23.6,83.4±59.8,19.8±13.2,50.9±9.5,11.5±8.7,17.8±7.2,"severe OSA, no prior CPAP, prior bariatric surgery, drowsy driving, hypoventilation syndrome",upon request,10.1164/rccm.201708-1637LE,10.25822/NX52-BC11
baseline,2,-,49,49,AASM,27-65,48.8±9.9,42.3,38.9±3.0,50.1 pm 27.2,-,-,10.1±4.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,481.5 pm 80.0,362.3 pm 95.6,74.0 pm 19.1,22.9 pm 28.7,96.3 pm 72.5,23.1 pm 14.9,48.9 pm 10.2,10.6 pm 8.1,17.5 pm 5.9,,,,
month9,2,-,43,43,AASM,-,-,-,-,-,-,-,7.7 pm 4.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,492.3 pm 16.2,393.8 pm 57.4,80.0 pm 11.1,19.6 pm 17.2,78.9 pm 51.3,19.1 pm 12.6,52.0 pm 8.8,11.2 pm 8.3,17.7 pm 7.4,,,,
month18,2,-,40,40,AASM,-,-,-,-,-,-,-,7.3 pm 4.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,482.1 pm 46.3,386.7 pm 71.3,79.8 pm 12.0,21.9 pm 23.0,72.2 pm 48.3,16.6 pm 10.7,52.0 pm 9.2,13.1 pm 9.7,18.4 pm 8.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANPHY,1,2024,29,29,AASM,,32±6,44.8,<30,<= 15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,416.2±48.3,341.6±59.8,81.8±9.9,17.5±18.5,57.3±35.0,12.3±3.8,49.5±6.6,23.1±5.8,15.1±4.1,normal/healthy populaiton ,public,10.1038/s41597-024-03722-1,10.17605/OSF.IO/R26FH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOE,1,2003-2007,712,712,R&K,13-90,45.7±13.6,40.9,27.3±7.0,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,467.7±53.2,348.5±70.0,74.6±12.7,45.3±33.4,73.4±53.2,11.7±9.6,63.0±12.2,9.4±9.7,16.0±7.1,sleep disordered breathing,upon request,10.1371/journal.pone.0114565,10.25822/6SSJ-2157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPLES,1,2003-2008,1516,1104,R&K,18-84,50.1±12.9,36.8,32.1±7.8,38.2±26.6,24.9±19.1,8.2±17.5,-,-,-,-,-,55.5±11.9,-,-,-,-,-,2.8±1.4,-,-,-,-,6.3±5.2,493.3±58.9,373.2±74.1,75.7±13.0,25.8±27.4,94.3±56.3,19.1±14.7,60.5±13.8,3.1±5.8,17.3±7.3,"OSA, AHI >=10, mean AHI 38.2, no prior CPAP, mean BMI 32, 75% caucasian",upon request,10.1093/sleep/34.3.303,10.25822/63PR-A591
