,Neurophysiology,,,Cardiology,,,,Respiratory Effort,,,,,Oxygenation,,,Body,,,,,Behavioural / Environmental,,Therapy,,
Dataset,EEG,EOG,EMG chin,ECG,PPG (pulse oxi/pleth),HR,blood pressure,Nasal pressure,Thermistor/airflow,RIP belts (abd/tho),Esophageal pressure / Pes (invasive respiratory effort),snore vibration sensor,SpO2,EtCO2/TcCO2,Oximetry-derived indices,EMG leg/arms,body core temperature,actigraphy,accelerometers,position,Audio,Light,PAP pressure,Leak,Flow from device
ABC,6,2,2,1,2,1,,1,1,3,,1,1,,1,2,,,,2,,1,1,,1
ANPHY,83,4,1,1,,,,,,,,,,,,2,,,,,,1,,,
APOE,6,2,1,1,,1,,(1),(1),2,1,1,1,1,,2,,,,1,1,1,1,(1),(1)
APPLES,4,2,1,1,,1,,1,1,2,,1,1,,,1,,,,,,,,,
BESTAIR,,,,1,2,,,1,1,4,,1,1,,,,,1,,(1),,,,,(1)
BOAS,8,1 (2),1,,,3,,,(1),(2),,,1,,,,,,6,,,,,,
CAPSLPDB,5,1,1,1,1,1,,1,,(2),,,1,,,2,,,,(1),(1),,,,
CCSHS,2,2,2,2,1,2,,1,1,3,,1,1,,1,2,,,,1,,1,,,
CFS,2,2,2,1,(1),1,,1,1,2,,1,1,,1,2,,,,1,,(1),,,
CHAT,,,,,,,,,,,,,,,,,,,,,,,,,
CPS,4,2,2,1,1,1,,1,1,3,,2,1,,,2,,1,,1,,1,,,
DCSM,,,,,,,,,,,,,,,,,,,,,,,,,
DOD-H,12,2,1,1,,,,,,,,,,,,,,,,,,,,,
DOD-O,8,2,1,1,,,,,,,,,,,,,,,,,,,,,
DREAMT,,,,,,,,,,,,,,,,,,,,,,,,,
EESM17,20,2,1,,,,,,,,,,,,,,,,,,,1,,,
EESM19,12 (18),1 (2),(2),,,,,,,,,,,,,,,,,,,1,,,
EESM23,5  (11),(2),(2),,,,,,,,,,,,,,,,,,,1,,,
FDCSR,6 (8),2,1,1,,,,,,,,,,,,,,,,,,1,,,
HEARTBEAT,,,,1,2,1,,(1),(1),(2),,1,2,,1,,,1,3,1,,,,,
HMC,4,2,1,1,,,,,,,,,,,,,,,,,,1,,,
HomePAP,6 (7),2,(2),1 (3),1,2,,1,1,2,,1,1,(1),(3),2,,(1),(3),1,,,(1),(1),1
ISRUC,6,2,1,2,,,,,2,2,,1,1,,,2,,,,1,,1,,,
MESA,3,2,1,1,1,2,,1,1,2,,1,1,,1,1,,,,1,,,,,
MIT-BIH,1 (3),(1),(1),1,,,1,,1,(2),,,(1),,,,,,,,,,,,
MNC,4 (6),2,1,1,,1,,1,1,2,,1,1,(1),,1,,,,1,,,1,(1),1
MrOS,2,2,2,2,,2,,1,1,3,,,1,,,2,,,,1,,,,,
MSP,6,2,2,1,1,1,,1,(1),2,,,1,,,2,,,,,,1,,,
MWT,2,2,,,,,,,,,,,,,,,,,,,,,,,
NCHSDB,7,2,1,1,1,,,1,2 (4),2,,1 (2),1,2 (3),1,1 (2),,,,1,,1,1,,2
Physio2018,6,1,1,1,,,,,1,2,,,1,,,,,,,,,,,,
PSG-IPA,3,2,1,1,,,,1,,2,,,1,,,,,,,,,,,,
REDS,,,,,,,,,,,,,,,,,,,,,,,,,
SEF,30,1,1,,,,,,,,,,,,,,,,,,,,,,
SIEFERT2024,63,,2,,,,,,,,,,,,,,,,,,,,,,
SLEEPBRL,,,,,,,,,,,,,,,,,,,,,,,,,
SHHS,2,2,1,1,,1,,1,1,2,,,1,,1,,,,,1,1,1,,,
Sleep-EDF,2,1,1,,,,,,1,,,,,,,,1,,,,,1,,,
SOF,2,2,2,1,,1,,1,1,2,,,1,,,2,,,,1,,,,,
STAGES,8 (12),2,1,1,2,1,,1,(3),2,,1,1,(1),(1),2,,,(1),1,,1,(4),1,(1)
UCDDB,2,2,1,1,,1,,,1,3,,,1,,,,,,,1,1,,,,
UCSD,3,,,,,,,,,,,,,,,,,,,,,,,,
WSC,2 (3),2,1,1,,,,1,2,3,,1,1,,,1,,,,1,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Regular numbers indicate that more than 50% of recordings have this channel, numbers in brackets indicate that more than 10% of channels have this modality",,,,,,,,,,,,,,,,,,,,,,,,,
"Channel numbers are counted conservatively, i.e. if a subset of the dataset is chosen, more channels may be available.",,,,,,,,,,,,,,,,,,,,,,,,,
Reference EEG channels are omitted.,,,,,,,,,,,,,,,,,,,,,,,,,
"If 3 chin EMG channels are provided (EMGZ, EMG1, EMG2) one is seen as the reference an not counted.",,,,,,,,,,,,,,,,,,,,,,,,,
